"","x"
"1537","Q06672"
"1538","Q8TGM2"
"1539","Q08220"
"1540","P38967"
"1541","P40503"
"1542","Q06490"
"1543","P32842"
"1544","P26188"
"1545","Q12148"
"1546","Q8TGJ1"
"1547","O13582"
"1548","P32634"
"1549","P38717"
"1550","O13584"
"1551","Q07732"
"1552","P29589"
"1553","Q12043"
"1554","P22215"
"1555","P0C5L1"
"1556","Q8TGS5"
"1557","P53324"
"1558","P48560"
"1559","Q8TGM0"
"1560","P48559"
"1561","Q12481"
"1562","P38281"
"1563","P53769"
"1564","Q12345"
"1565","Q04659"
"1566","P38319"
"1567","P53820"
"1568","Q03063"
"1569","P48558"
"1570","P48561"
"1571","P48563"
"1572","P53819"
"1573","P22855"
"1574","P22204"
"1575","Q99395"
"1576","P53147"
"1577","P40502"
"1578","Q04119"
"1579","P53259"
"1580","P40498"
"1581","P21264"
"1582","P00958"
"1583","P39725"
"1584","Q3E747"
"1585","P47180"
"1586","Q00772"
"1587","P07286"
"1588","P51862"
"1589","P40562"
"1590","Q07729"
"1591","Q07688"
"1592","P38842"
"1593","P28496"
"1594","P13130"
"1595","Q3E828"
"1596","P53176"
"1597","P53178"
"1598","P31109"
"1599","P50086"
"1600","Q05899"
"1601","P14747"
"1602","P85052"
"1603","P37898"
"1604","P0CX80"
"1605","P42841"
"1606","P19454"
"1607","P0C5P6"
"1608","P35725"
"1609","P38878"
"1610","Q06813"
"1611","Q06810"
"1612","P49957"
"1613","P53943"
"1614","P46996"
"1615","P40568"
"1616","P40565"
"1617","P50277"
"1618","Q06639"
"1619","P50278"
"1620","P50275"
"1621","P39925"
"1622","P28007"
"1623","P39923"
"1624","P39940"
"1625","P53729"
"1626","A0A023PXN9"
"1627","P32473"
"1628","P0C5L4"
"1629","P32472"
"1630","P38759"
"1631","P38758"
"1632","P41940"
"1633","P43550"
"1634","O13572"
"1635","Q08909"
"1636","P32844"
"1637","P53317"
"1638","Q99248"
"1639","Q06598"
"1640","Q03619"
"1641","Q12525"
"1642","Q12171"
"1643","Q12746"
"1644","A0A023PZB3"
"1645","Q03483"
"1646","P25349"
"1647","P19880"
"1648","P36114"
"1649","Q04660"
"1650","P53965"
"1651","Q02457"
"1652","P25454"
"1653","P53916"
"1654","P38713"
"1655","P38109"
"1656","P40535"
"1657","P53270"
"1658","P53166"
"1659","P43597"
"1660","P43595"
"1661","Q3E829"
"1662","P38877"
"1663","P0C2J3"
"1664","P46983"
"1665","P38207"
"1666","Q03231"
"1667","Q06991"
"1668","Q03144"
"1669","Q12214"
"1670","P38324"
"1671","P40353"
"1672","P38817"
"1673","Q03921"
"1674","P21538"
"1675","P32839"
"1676","P0C5Q0"
"1677","P22579"
"1678","Q06333"
"1679","Q06325"
"1680","P31386"
"1681","P38167"
"1682","Q12416"
"1683","P42826"
"1684","P38730"
"1685","P53111"
"1686","P31373"
"1687","P38624"
"1688","Q04894"
"1689","Q12507"
"1690","P09457"
"1691","P43568"
"1692","P40472"
"1693","P34163"
"1694","P24720"
"1695","P50944"
"1696","Q6Q571"
"1697","P00427"
"1698","Q12121"
"1699","P43545"
"1700","P07280"
"1701","Q08777"
"1702","Q08224"
"1703","P38254"
"1704","P27616"
"1705","P32633"
"1706","P32629"
"1707","P32628"
"1708","P32626"
"1709","P32623"
"1710","P32621"
"1711","P32618"
"1712","P32617"
"1713","P32616"
"1714","P32614"
"1715","P32613"
"1716","P32611"
"1717","P32610"
"1718","P32609"
"1719","P32608"
"1720","P32605"
"1721","P34162"
"1722","P35176"
"1723","P35178"
"1724","P35179"
"1725","P35180"
"1726","P35182"
"1727","P35189"
"1728","P34730"
"1729","P34756"
"1730","P34761"
"1731","P36138"
"1732","O13547"
"1733","P53103"
"1734","P18409"
"1735","P18410"
"1736","P18411"
"1737","Q12129"
"1738","P47157"
"1739","P32566"
"1740","P26725"
"1741","P36154"
"1742","P0C5N3"
"1743","O13576"
"1744","O13578"
"1745","O13579"
"1746","P47073"
"1747","O13575"
"1748","O13574"
"1749","O13571"
"1750","P53829"
"1751","P39081"
"1752","P39079"
"1753","P80235"
"1754","Q6Q5X2"
"1755","Q02629"
"1756","P20095"
"1757","Q12271"
"1758","P38190"
"1759","P43604"
"1760","P47146"
"1761","P53286"
"1762","P38200"
"1763","P38257"
"1764","P38256"
"1765","P40975"
"1766","Q04491"
"1767","P12686"
"1768","Q04215"
"1769","P07245"
"1770","P0C2J7"
"1771","Q03656"
"1772","P06244"
"1773","P53918"
"1774","Q12114"
"1775","P19882"
"1776","Q07629"
"1777","P29366"
"1778","Q03787"
"1779","Q3E7Y6"
"1780","Q04603"
"1781","P40342"
"1782","P53233"
"1783","Q08907"
"1784","Q8TGL7"
"1785","P47137"
"1786","P47135"
"1787","P47134"
"1788","P47138"
"1789","P47133"
"1790","P47136"
"1791","P38161"
"1792","Q12342"
"1793","Q3E7Y4"
"1794","Q12516"
"1795","Q04170"
"1796","Q12132"
"1797","P18496"
"1798","P53135"
"1799","P38747"
"1800","P50108"
"1801","P23201"
"1802","Q07528"
"1803","P32074"
"1804","P39996"
"1805","P39997"
"1806","P53112"
"1807","P38898"
"1808","P0CX74"
"1809","P39995"
"1810","P38800"
"1811","P47054"
"1812","Q07435"
"1813","P35719"
"1814","P09624"
"1815","Q07438"
"1816","Q06510"
"1817","P38212"
"1818","Q12042"
"1819","P38338"
"1820","P54862"
"1821","P25657"
"1822","P23615"
"1823","Q01662"
"1824","P38629"
"1825","P43579"
"1826","Q3E754"
"1827","Q12312"
"1828","P36137"
"1829","O13566"
"1830","P47103"
"1831","P47104"
"1832","P47106"
"1833","P47107"
"1834","P33420"
"1835","Q12026"
"1836","P30620"
"1837","P49167"
"1838","Q12451"
"1839","P28817"
"1840","Q12070"
"1841","P47016"
"1842","P23254"
"1843","P34909"
"1844","P38239"
"1845","Q07478"
"1846","Q04772"
"1847","P53745"
"1848","Q3E830"
"1849","P08566"
"1850","P08638"
"1851","P47912"
"1852","P07277"
"1853","P0C5P9"
"1854","P53732"
"1855","P40005"
"1856","P47822"
"1857","P20051"
"1858","Q12285"
"1859","P32263"
"1860","Q12113"
"1861","P32803"
"1862","P32802"
"1863","P14020"
"1864","P40013"
"1865","Q9ZZW3"
"1866","P38716"
"1867","Q06508"
"1868","P38322"
"1869","P13902"
"1870","P38958"
"1871","P48566"
"1872","P38273"
"1873","P38274"
"1874","P38925"
"1875","P25611"
"1876","P47129"
"1877","P50946"
"1878","Q12529"
"1879","Q3E746"
"1880","P49089"
"1881","Q02776"
"1882","Q00590"
"1883","Q08916"
"1884","P53079"
"1885","P0C5P5"
"1886","Q03322"
"1887","P47161"
"1888","P53138"
"1889","P32500"
"1890","P53074"
"1891","P09620"
"1892","P09547"
"1893","P0C5P7"
"1894","P0C5P8"
"1895","Q06892"
"1896","P32526"
"1897","P15367"
"1898","Q08748"
"1899","P38140"
"1900","P38195"
"1901","P01123"
"1902","Q12156"
"1903","Q08226"
"1904","Q05635"
"1905","P36053"
"1906","P49095"
"1907","P30952"
"1908","P43544"
"1909","A0A023PXM7"
"1910","Q03776"
"1911","Q02260"
"1912","P39534"
"1913","P49018"
"1914","P38208"
"1915","P32341"
"1916","Q06109"
"1917","Q99278"
"1918","P08465"
"1919","P00420"
"1920","P00431"
"1921","P00445"
"1922","P00498"
"1923","P00546"
"1924","P00549"
"1925","P00560"
"1926","P00572"
"1927","P00724"
"1928","P00729"
"1929","P00812"
"1930","P00830"
"1931","P00856"
"1932","P50273"
"1933","P50264"
"1934","P50263"
"1935","P50113"
"1936","P50111"
"1937","P50106"
"1938","P50104"
"1939","P50102"
"1940","P50101"
"1941","P47108"
"1942","P47112"
"1943","P48237"
"1944","P48231"
"1945","P48232"
"1946","P48234"
"1947","P48235"
"1948","P48238"
"1949","P48353"
"1950","P48362"
"1951","P48363"
"1952","P48412"
"1953","P23561"
"1954","P36075"
"1955","Q12287"
"1956","Q02326"
"1957","Q06267"
"1958","P33297"
"1959","P25588"
"1960","P47020"
"1961","P46986"
"1962","P04386"
"1963","P26343"
"1964","P06786"
"1965","P23285"
"1966","P23255"
"1967","P38358"
"1968","P53727"
"1969","P12383"
"1970","P00924"
"1971","P40541"
"1972","Q04053"
"1973","Q12674"
"1974","P38215"
"1975","P35736"
"1976","Q03219"
"1977","Q08245"
"1978","O13565"
"1979","O13562"
"1980","P04387"
"1981","P20434"
"1982","P25639"
"1983","P53725"
"1984","P47818"
"1985","Q12057"
"1986","Q03667"
"1987","P05743"
"1988","P80428"
"1989","P42935"
"1990","Q04004"
"1991","P47116"
"1992","P47089"
"1993","P20676"
"1994","P47155"
"1995","P49166"
"1996","P49090"
"1997","P47164"
"1998","P47163"
"1999","P47162"
"2000","P47160"
"2001","P47158"
"2002","P47156"
"2003","P47154"
"2004","P47153"
"2005","P47152"
"2006","P47150"
"2007","P47149"
"2008","P47148"
"2009","P80667"
"2010","O13559"
"2011","Q12177"
"2012","Q12754"
"2013","O13545"
"2014","P52593"
"2015","P52492"
"2016","P50089"
"2017","P49956"
"2018","P48589"
"2019","P48606"
"2020","P48581"
"2021","P50896"
"2022","P50090"
"2023","P50087"
"2024","P50077"
"2025","P48568"
"2026","P52488"
"2027","P47182"
"2028","P47179"
"2029","P47167"
"2030","P47147"
"2031","P47126"
"2032","P47123"
"2033","P50874"
"2034","P47174"
"2035","Q08986"
"2036","P52924"
"2037","Q05791"
"2038","P53072"
"2039","P53082"
"2040","P53090"
"2041","Q08953"
"2042","P53118"
"2043","P53962"
"2044","P50095"
"2045","P52867"
"2046","P52553"
"2047","P52491"
"2048","P52490"
"2049","P52489"
"2050","P52290"
"2051","P51996"
"2052","P51979"
"2053","P51402"
"2054","P51401"
"2055","P50947"
"2056","P50945"
"2057","P50943"
"2058","P50942"
"2059","P50873"
"2060","P50623"
"2061","P50094"
"2062","P50091"
"2063","P50088"
"2064","P50083"
"2065","P50078"
"2066","P50076"
"2067","P49960"
"2068","P49954"
"2069","P49775"
"2070","P49723"
"2071","P49687"
"2072","P49686"
"2073","P49435"
"2074","P49367"
"2075","P48813"
"2076","P48743"
"2077","P48582"
"2078","P48570"
"2079","P48569"
"2080","P48567"
"2081","P48564"
"2082","P48562"
"2083","P48527"
"2084","P48524"
"2085","P48415"
"2086","P47821"
"2087","P47771"
"2088","P47188"
"2089","P47185"
"2090","P47184"
"2091","P47183"
"2092","P47178"
"2093","P47177"
"2094","P47176"
"2095","P47175"
"2096","P47173"
"2097","P47172"
"2098","P47171"
"2099","P47170"
"2100","P47166"
"2101","P47145"
"2102","P47144"
"2103","P47142"
"2104","P47141"
"2105","P47140"
"2106","P47139"
"2107","P47132"
"2108","P47130"
"2109","P47128"
"2110","P47127"
"2111","P47125"
"2112","P47124"
"2113","P47122"
"2114","P47120"
"2115","P47114"
"2116","P47100"
"2117","P47098"
"2118","P47096"
"2119","P47094"
"2120","P52920"
"2121","P52923"
"2122","P52960"
"2123","P53008"
"2124","P53009"
"2125","P53010"
"2126","P53011"
"2127","P53012"
"2128","P53032"
"2129","P53035"
"2130","P53036"
"2131","P53037"
"2132","P53038"
"2133","P53040"
"2134","P53043"
"2135","P53044"
"2136","P53045"
"2137","P53046"
"2138","P53047"
"2139","P53048"
"2140","P53050"
"2141","P53053"
"2142","P53054"
"2143","P53056"
"2144","P53058"
"2145","P53059"
"2146","P53060"
"2147","P53061"
"2148","P53062"
"2149","P53063"
"2150","P53064"
"2151","P53065"
"2152","P53067"
"2153","P53069"
"2154","P53076"
"2155","P53078"
"2156","P53080"
"2157","P53081"
"2158","P53083"
"2159","P53085"
"2160","P53086"
"2161","P53087"
"2162","P53088"
"2163","P53089"
"2164","P53091"
"2165","P53092"
"2166","P53093"
"2167","P53095"
"2168","P53096"
"2169","P53097"
"2170","P53098"
"2171","P53100"
"2172","P53101"
"2173","P53102"
"2174","P53106"
"2175","P53107"
"2176","P53108"
"2177","P53109"
"2178","P53110"
"2179","P53116"
"2180","P53120"
"2181","P53122"
"2182","P53125"
"2183","P53126"
"2184","Q04549"
"2185","P38770"
"2186","Q03233"
"2187","Q00578"
"2188","P25580"
"2189","Q06651"
"2190","P19658"
"2191","P53941"
"2192","Q04069"
"2193","P0CE68"
"2194","P32342"
"2195","Q06538"
"2196","P07285"
"2197","P0C5R6"
"2198","Q01919"
"2199","Q3E744"
"2200","O14455"
"2201","P32317"
"2202","Q03702"
"2203","P46947"
"2204","Q07648"
"2205","P0CL37"
"2206","P10591"
"2207","P10869"
"2208","P0CX38"
"2209","P0CX93"
"2210","P38756"
"2211","P53261"
"2212","P0C5R1"
"2213","P38722"
"2214","Q03433"
"2215","P53932"
"2216","P25351"
"2217","P39004"
"2218","P0CE87"
"2219","P32622"
"2220","P25603"
"2221","Q6WNK7"
"2222","P53967"
"2223","Q12436"
"2224","P39543"
"2225","Q03768"
"2226","Q03758"
"2227","P53313"
"2228","P02309"
"2229","P02309"
"2230","P02994"
"2231","P00899"
"2232","P00127"
"2233","P00045"
"2234","O94086"
"2235","P04650"
"2236","P04821"
"2237","P04840"
"2238","P05375"
"2239","P05373"
"2240","P05318"
"2241","P05738"
"2242","P05739"
"2243","P05740"
"2244","P05747"
"2245","P06115"
"2246","P06243"
"2247","P06174"
"2248","P06701"
"2249","P06633"
"2250","P06738"
"2251","P06773"
"2252","P06778"
"2253","P07260"
"2254","P07283"
"2255","P07347"
"2256","P07991"
"2257","P08425"
"2258","P02406"
"2259","P08067"
"2260","P08458"
"2261","P08466"
"2262","P08525"
"2263","P08524"
"2264","P09232"
"2265","P08468"
"2266","O94742"
"2267","P09880"
"2268","P09798"
"2269","P04786"
"2270","P09950"
"2271","P0C0W9"
"2272","P0C269"
"2273","P0C074"
"2274","P0C2H9"
"2275","P0C2J0"
"2276","P0C2I2"
"2277","P0C2I7"
"2278","P0C5L6"
"2279","P0C5M4"
"2280","P0C2I9"
"2281","P0C5N6"
"2282","P0C5N7"
"2283","P0C5N8"
"2284","P0C5P1"
"2285","P0C5P2"
"2286","P0C5Q4"
"2287","P0C5R2"
"2288","P0CD90"
"2289","P0CD97"
"2290","P0CE41"
"2291","P0CE85"
"2292","P0C5M9"
"2293","P0CE92"
"2294","P0CE89"
"2295","P0CF21"
"2296","P0CF17"
"2297","P0CF16"
"2298","P0CF19"
"2299","P04051"
"2300","P04039"
"2301","P04037"
"2302","P03962"
"2303","P03882"
"2304","P03881"
"2305","P03879"
"2306","P03875"
"2307","P03873"
"2308","P03872"
"2309","P03871"
"2310","P03870"
"2311","P03069"
"2312","P02829"
"2313","P02557"
"2314","P02407"
"2315","P02381"
"2316","P02294"
"2317","P02293"
"2318","P01149"
"2319","P01120"
"2320","P01119"
"2321","P01098"
"2322","P00950"
"2323","P00927"
"2324","P00925"
"2325","P00890"
"2326","P00854"
"2327","P00815"
"2328","P00447"
"2329","P00425"
"2330","P00424"
"2331","P00410"
"2332","P00360"
"2333","P00359"
"2334","P00358"
"2335","P00044"
"2336","O94143"
"2337","O94085"
"2338","O94084"
"2339","O74700"
"2340","O60200"
"2341","O42831"
"2342","O14468"
"2343","O14467"
"2344","O13587"
"2345","O13586"
"2346","O13585"
"2347","O13577"
"2348","O13569"
"2349","P04449"
"2350","P04456"
"2351","P04710"
"2352","P04806"
"2353","P04819"
"2354","P04911"
"2355","P04912"
"2356","P05316"
"2357","P05319"
"2358","P05374"
"2359","P05453"
"2360","P05626"
"2361","P05737"
"2362","P05748"
"2363","P05749"
"2364","P05750"
"2365","P05755"
"2366","P05756"
"2367","P05759"
"2368","P05986"
"2369","P06100"
"2370","P06103"
"2371","P06104"
"2372","P06105"
"2373","P06106"
"2374","P06197"
"2375","P06208"
"2376","P06245"
"2377","P06367"
"2378","P06634"
"2379","P06700"
"2380","P06774"
"2381","P06775"
"2382","P06779"
"2383","P06781"
"2384","P06782"
"2385","P06783"
"2386","P06784"
"2387","P07149"
"2388","P07170"
"2389","P07236"
"2390","P07244"
"2391","P07249"
"2392","P07250"
"2393","P07251"
"2394","P07253"
"2395","P07255"
"2396","P07256"
"2397","P07257"
"2398","P07259"
"2399","P07261"
"2400","P07262"
"2401","P07263"
"2402","P07264"
"2403","P07273"
"2404","P07276"
"2405","P07342"
"2406","P07806"
"2407","P07807"
"2408","P07834"
"2409","P07884"
"2410","P08004"
"2411","P08018"
"2412","P08153"
"2413","P08417"
"2414","P08432"
"2415","P08518"
"2416","P08521"
"2417","P08536"
"2418","P08539"
"2419","P08640"
"2420","P08678"
"2421","P08679"
"2422","P08964"
"2423","P09032"
"2424","P09064"
"2425","P09201"
"2426","P09368"
"2427","P09436"
"2428","P09440"
"2429","P09733"
"2430","P09734"
"2431","P09932"
"2432","P09937"
"2433","P09938"
"2434","P0C0V2"
"2435","P0C0V8"
"2436","P0C0W1"
"2437","P0C0X0"
"2438","P0C155"
"2439","P0C1Z1"
"2440","P0C270"
"2441","P0C271"
"2442","P0C2H8"
"2443","P0C2I6"
"2444","P0C2I8"
"2445","P0C2J1"
"2446","P0C2J2"
"2447","P0C2J4"
"2448","P0C2J5"
"2449","P0C2J6"
"2450","P0C5E0"
"2451","P0C5K9"
"2452","P0C5L0"
"2453","P0C5L2"
"2454","P0C5L3"
"2455","P0C5L7"
"2456","P0C5L9"
"2457","P0C5M0"
"2458","P0C5M1"
"2459","P0C5M2"
"2460","P0C5M3"
"2461","P0C5M5"
"2462","P0C5M7"
"2463","P0C5M8"
"2464","P0C5N1"
"2465","P0C5N2"
"2466","P0C5N5"
"2467","P0C5N9"
"2468","P0C5P3"
"2469","P0C5P4"
"2470","P0C5Q1"
"2471","P0C5Q3"
"2472","P0C5Q5"
"2473","P0C5Q6"
"2474","P0C5Q7"
"2475","P0C5Q8"
"2476","P0C5Q9"
"2477","P0C5R0"
"2478","P0C5R3"
"2479","P0C5R4"
"2480","P0C5R5"
"2481","P0C5R7"
"2482","P0C5R8"
"2483","P0C5R9"
"2484","P0C5S0"
"2485","P0C5S1"
"2486","P0CD98"
"2487","P0CE00"
"2488","P0CE11"
"2489","P0CE69"
"2490","P0CE86"
"2491","P0CE88"
"2492","P0CE91"
"2493","P0CE93"
"2494","P0CE96"
"2495","P0CE97"
"2496","P0CE98"
"2497","P0CE99"
"2498","P0CF20"
"2499","P09119"
"2500","Q04406"
"2501","Q02948"
"2502","Q04410"
"2503","Q04409"
"2504","Q04408"
"2505","Q8TGK1"
"2506","Q12032"
"2507","Q12172"
"2508","P32859"
"2509","Q05359"
"2510","P39714"
"2511","Q03799"
"2512","Q06151"
"2513","P33419"
"2514","P38153"
"2515","P53866"
"2516","P40582"
"2517","Q04199"
"2518","P40211"
"2519","P47024"
"2520","P32656"
"2521","Q06675"
"2522","Q12154"
"2523","P53972"
"2524","P32580"
"2525","P38115"
"2526","P53282"
"2527","P36081"
"2528","Q06567"
"2529","P40540"
"2530","P33894"
"2531","Q3E7Z5"
"2532","Q3E796"
"2533","P38912"
"2534","P39522"
"2535","P39729"
"2536","P39935"
"2537","P40081"
"2538","P39531"
"2539","P39927"
"2540","P39972"
"2541","P40082"
"2542","P40058"
"2543","P40029"
"2544","P38929"
"2545","P38921"
"2546","P39005"
"2547","P38894"
"2548","P39010"
"2549","P39016"
"2550","P39101"
"2551","P39102"
"2552","P38913"
"2553","P39542"
"2554","P39103"
"2555","P39704"
"2556","P39718"
"2557","P39904"
"2558","P39937"
"2559","P39952"
"2560","Q06554"
"2561","P40018"
"2562","P40037"
"2563","P39001"
"2564","P39000"
"2565","P38999"
"2566","P38996"
"2567","P38994"
"2568","P38993"
"2569","P38992"
"2570","P38991"
"2571","P38990"
"2572","P38989"
"2573","P38988"
"2574","P38987"
"2575","P38985"
"2576","P38972"
"2577","P38971"
"2578","P38966"
"2579","P38961"
"2580","P38960"
"2581","P38959"
"2582","P38957"
"2583","P38954"
"2584","P38953"
"2585","P38928"
"2586","P38927"
"2587","P38920"
"2588","P38915"
"2589","P38911"
"2590","P38907"
"2591","P38904"
"2592","P38900"
"2593","P38899"
"2594","P38893"
"2595","P38891"
"2596","P39003"
"2597","P39006"
"2598","P39007"
"2599","P39014"
"2600","P39073"
"2601","P39078"
"2602","P39105"
"2603","P39111"
"2604","P39515"
"2605","P39517"
"2606","P39520"
"2607","P39523"
"2608","P39524"
"2609","P39525"
"2610","P39529"
"2611","P39533"
"2612","P39538"
"2613","P39540"
"2614","P39541"
"2615","P39545"
"2616","P39548"
"2617","P39549"
"2618","P39552"
"2619","P39563"
"2620","P39567"
"2621","P39678"
"2622","P39682"
"2623","P39683"
"2624","P39684"
"2625","P39685"
"2626","P39692"
"2627","P39703"
"2628","P39705"
"2629","P39706"
"2630","P39707"
"2631","P39708"
"2632","P39711"
"2633","P39713"
"2634","P39720"
"2635","P39721"
"2636","P39722"
"2637","P39723"
"2638","P39724"
"2639","P39727"
"2640","P39728"
"2641","P39732"
"2642","P39742"
"2643","P39743"
"2644","P39875"
"2645","P39926"
"2646","P39928"
"2647","P39929"
"2648","P39931"
"2649","P39932"
"2650","P39933"
"2651","P39936"
"2652","P39938"
"2653","P39939"
"2654","P39943"
"2655","P39944"
"2656","P39945"
"2657","P39946"
"2658","P39953"
"2659","P39954"
"2660","P39955"
"2661","P39956"
"2662","P39958"
"2663","P39959"
"2664","P39960"
"2665","P39962"
"2666","P39965"
"2667","P39967"
"2668","P39968"
"2669","P39969"
"2670","P39970"
"2671","P39973"
"2672","P39974"
"2673","P39976"
"2674","P39978"
"2675","P39979"
"2676","P39981"
"2677","P39983"
"2678","P39984"
"2679","P39987"
"2680","P39989"
"2681","P39990"
"2682","P39994"
"2683","P39998"
"2684","P39999"
"2685","P40002"
"2686","P40003"
"2687","P40004"
"2688","P40006"
"2689","P40007"
"2690","P40008"
"2691","P40009"
"2692","P40010"
"2693","P40011"
"2694","P40012"
"2695","P40017"
"2696","P40019"
"2697","P40020"
"2698","P40021"
"2699","P40022"
"2700","P40024"
"2701","P40026"
"2702","P40028"
"2703","P40032"
"2704","P40034"
"2705","P40036"
"2706","P40038"
"2707","P40039"
"2708","P40040"
"2709","P40041"
"2710","P40042"
"2711","P40043"
"2712","P40046"
"2713","P40047"
"2714","P40048"
"2715","P40050"
"2716","P40051"
"2717","P40052"
"2718","P40053"
"2719","P40054"
"2720","P40055"
"2721","P40057"
"2722","P40059"
"2723","P40061"
"2724","P40063"
"2725","P40064"
"2726","P40065"
"2727","P40066"
"2728","P40068"
"2729","P40069"
"2730","P40083"
"2731","P40084"
"2732","P40087"
"2733","Q07914"
"2734","Q08760"
"2735","P32345"
"2736","P25606"
"2737","Q08908"
"2738","Q08811"
"2739","Q02803"
"2740","Q04401"
"2741","P13574"
"2742","P53258"
"2743","Q03937"
"2744","Q04779"
"2745","Q04781"
"2746","Q08491"
"2747","P40486"
"2748","P40487"
"2749","P36125"
"2750","Q08910"
"2751","P32319"
"2752","P38061"
"2753","Q12134"
"2754","P22936"
"2755","P22768"
"2756","P22803"
"2757","P23059"
"2758","P23179"
"2759","P23180"
"2760","P23202"
"2761","P23248"
"2762","P23250"
"2763","P23291"
"2764","Q07986"
"2765","P19358"
"2766","Q12210"
"2767","P43556"
"2768","Q06608"
"2769","P38336"
"2770","P15303"
"2771","P27514"
"2772","Q02783"
"2773","P19516"
"2774","P36087"
"2775","P34111"
"2776","Q3E795"
"2777","P25808"
"2778","Q03446"
"2779","P25386"
"2780","P25629"
"2781","Q3E770"
"2782","P40570"
"2783","Q07788"
"2784","P33416"
"2785","P25385"
"2786","P40098"
"2787","P28005"
"2788","P28004"
"2789","P43566"
"2790","Q06169"
"2791","P36144"
"2792","Q07791"
"2793","P15496"
"2794","P25621"
"2795","Q3E6R5"
"2796","P53291"
"2797","Q05776"
"2798","P40215"
"2799","P53541"
"2800","P38176"
"2801","Q12434"
"2802","P40490"
"2803","P40858"
"2804","P17119"
"2805","P25365"
"2806","P25571"
"2807","Q12036"
"2808","P32903"
"2809","P53293"
"2810","Q03096"
"2811","Q06597"
"2812","Q03178"
"2813","P32793"
"2814","Q12444"
"2815","P25039"
"2816","P24868"
"2817","Q03798"
"2818","P38287"
"2819","Q04501"
"2820","Q04472"
"2821","P43132"
"2822","P43583"
"2823","P17883"
"2824","P32830"
"2825","P53839"
"2826","Q8TGR6"
"2827","P46151"
"2828","Q03774"
"2829","A0A023PZ94"
"2830","P32944"
"2831","P43601"
"2832","P43600"
"2833","P43598"
"2834","P43596"
"2835","P43594"
"2836","P43593"
"2837","P43592"
"2838","P43591"
"2839","P43589"
"2840","P43588"
"2841","P43586"
"2842","P43585"
"2843","O13534"
"2844","O13536"
"2845","O13537"
"2846","O13539"
"2847","O13540"
"2848","O13541"
"2849","O13542"
"2850","O13546"
"2851","O13548"
"2852","O13554"
"2853","O13556"
"2854","O13558"
"2855","O13560"
"2856","P38822"
"2857","P41948"
"2858","P14066"
"2859","Q02648"
"2860","Q12146"
"2861","P36079"
"2862","Q03783"
"2863","P36086"
"2864","A0A023PXN3"
"2865","A0A023PXP4"
"2866","A0A023PXQ4"
"2867","O13520"
"2868","O13521"
"2869","O13523"
"2870","D6W196"
"2871","O13514"
"2872","O13513"
"2873","O13329"
"2874","I2HB52"
"2875","D6VTK4"
"2876","D6VPM8"
"2877","A5Z2X5"
"2878","A0A0B7P221"
"2879","A0A023PZL7"
"2880","A0A023PZK9"
"2881","A0A023PZK4"
"2882","A0A023PZJ9"
"2883","A0A023PZJ3"
"2884","A0A023PZI4"
"2885","A0A023PZI1"
"2886","A0A023PZH9"
"2887","A0A023PZH4"
"2888","A0A023PZG9"
"2889","A0A023PZF3"
"2890","A0A023PZE8"
"2891","A0A023PZE6"
"2892","A0A023PZE4"
"2893","A0A023PZC3"
"2894","A0A023PZA9"
"2895","A0A023PZA4"
"2896","P53917"
"2897","P29952"
"2898","Q12143"
"2899","Q08903"
"2900","P32379"
"2901","P32769"
"2902","P32776"
"2903","P32832"
"2904","Q04018"
"2905","P38731"
"2906","P40495"
"2907","P53226"
"2908","P53868"
"2909","P32497"
"2910","Q99383"
"2911","P38742"
"2912","P36173"
"2913","P32801"
"2914","P38188"
"2915","P34161"
"2916","P34077"
"2917","P32855"
"2918","P34225"
"2919","P33421"
"2920","Q12213"
"2921","P34243"
"2922","P32558"
"2923","P32896"
"2924","P32902"
"2925","P35127"
"2926","P34167"
"2927","P34160"
"2928","P34244"
"2929","P35194"
"2930","P33895"
"2931","P33331"
"2932","P33335"
"2933","P33418"
"2934","P32568"
"2935","P33757"
"2936","P32899"
"2937","P32789"
"2938","P32787"
"2939","P32786"
"2940","P32785"
"2941","P32784"
"2942","P32783"
"2943","P32775"
"2944","P32774"
"2945","P32773"
"2946","P32772"
"2947","P32771"
"2948","P32660"
"2949","P32645"
"2950","P32644"
"2951","P32643"
"2952","P32602"
"2953","P32601"
"2954","P32599"
"2955","P32598"
"2956","P32591"
"2957","P32590"
"2958","P32588"
"2959","P32585"
"2960","P32581"
"2961","P32579"
"2962","P32573"
"2963","P32571"
"2964","P32570"
"2965","P32569"
"2966","P32565"
"2967","P32562"
"2968","P32559"
"2969","P32529"
"2970","P32528"
"2971","P32527"
"2972","P32525"
"2973","P32794"
"2974","P32796"
"2975","P32797"
"2976","P32799"
"2977","P32804"
"2978","P32829"
"2979","P32831"
"2980","P32833"
"2981","P32836"
"2982","P32838"
"2983","P32843"
"2984","P32857"
"2985","P32858"
"2986","P32860"
"2987","P32861"
"2988","P32862"
"2989","P32863"
"2990","P32864"
"2991","P32867"
"2992","P32873"
"2993","P32893"
"2994","P32895"
"2995","P32897"
"2996","P32900"
"2997","P32905"
"2998","P32906"
"2999","P32907"
"3000","P32909"
"3001","P32911"
"3002","P32915"
"3003","P32917"
"3004","P32939"
"3005","P33122"
"3006","P33199"
"3007","P33202"
"3008","P33204"
"3009","P33300"
"3010","P33301"
"3011","P33302"
"3012","P33306"
